緯度(Latitude),經度(Longitude),地標分類
22.995938,120.221777,便利商店
22.996381,120.216955,便利商店
22.999511,120.215102,便利商店
22.992497,120.221718,便利商店
22.99365,120.2216,便利商店
22.995945,120.218301,便利商店
22.995344,120.217914,便利商店
